N,P,Fe,gNm1,gPm1,gFem1,dop,don,gDNm1,pop,pon,pofe,B,F,gBm1,gFm1,ro,prodB,prodN,fS,QnS,QnL,prodP,Jb,prodFe,mortB,QnQpS,QnQpL,QpS,QpL,muL,muS,JmuS
0.29086186873011,0.183920154638576,0.000608186418331973,5.14411089801007,0.605149754405195,0,8.10682167546168e-06,8.45919866963902e-05,0.0225789704594257,2.07537024333512e-05,0.000216643970872824,0,0.000609563390590319,7.10350029938277e-08,0.154869938343152,9.01536560017471e-06,10.5331904283856,0.167966359421252,1.7662987125878,0.470374728887586,0.102564507963598,0.102360400893351,0.167975157587111,0.147510006427915,5.03925472761334e-05,0.0204563529933362,10.8689278617707,10.2350128057916,0.00943648805733161,0.0100010036954158,333.342482131738,296.050600701323,0.136983856045019
0.293311596021139,0.184211228879001,0.000608428446850275,4.89945458205738,0.582148480849926,0,9.34485964853858e-06,9.76448543121924e-05,0.0261057352316045,2.39088202589438e-05,0.000249950643480105,0,0.000698218794877259,7.58522864484063e-08,0.177310808573881,9.63456690915726e-06,10.5505767242439,0.192500925514225,2.0276489060818,0.470367813176171,0.102655532695975,0.102448114620836,0.192510327880643,0.168895482237357,5.7753098364193e-05,0.0236054432768678,10.8960637888794,10.2437487045047,0.00942134101681244,0.0100010374693968,333.506271824238,296.187844434545,0.137243733222272
0.295620544031214,0.184489094056989,0.000608666055994333,4.61789602014996,0.555730355975241,0,1.07752673726445e-05,0.00011275099608563,0.0302122835468754,2.75560576025086e-05,0.000288516641267324,0,0.000799697275087321,8.10005283788679e-08,0.202956960420123,1.0296483860923e-05,10.5679446921886,0.220604242422395,2.32750198537118,0.470360898264418,0.102746853309193,0.102536292924886,0.220614290687399,0.193339653477782,6.61842872062198e-05,0.0272645889446133,10.9231091057485,10.252530947157,0.00940637434950823,0.0100010712918959,333.670362845177,296.325348860714,0.137504426169287
0.297767648746736,0.184751803193145,0.000608898668736412,4.29420943104457,0.525418272312515,0,1.24297023892563e-05,0.000130251998253583,0.0350020043359057,3.17771076356537e-05,0.000333224195850246,0,0.000915821923479144,8.65025268386163e-08,0.232249296783647,1.10039969194969e-05,10.5852912763779,0.252788090041059,2.67145055439791,0.470353983702486,0.102838444348478,0.102624897513868,0.252798828720582,0.221264670647326,7.58396486161745e-05,0.0315234193937335,10.9500616186633,10.2613557074297,0.00939158590424729,0.0100011051599705,333.834756794387,296.463114844592,0.137765983877565
0.299728882368298,0.184997139085119,0.000609125628447403,3.92246724312346,0.490671783947994,0,1.4345516436363e-05,0.000150551420307049,0.0405988441069327,3.6668534559717e-05,0.000385117461003964,0,0.00104866378178294,9.23826062402509e-08,0.265683716607599,1.17601588032692e-05,10.602613018736,0.289634962290595,3.06587043966868,0.470347069083958,0.102930277558709,0.102713885218943,0.289646438888692,0.253145809173617,8.68939316666077e-05,0.0364891531169785,10.9769188274158,10.2702186718395,0.00937697355487694,0.0100011390702498,333.999455050507,296.601143105063,0.138028260471368
0.30147687189024,0.185222580156437,0.000609346189126762,3.49597904388463,0.450882142635517,0,1.65669029592718e-05,0.000174127361790359,0.0471518829666189,4.23448116316866e-05,0.000445435787862143,0,0.00120057184215761,9.86667060173024e-08,0.303816120749331,1.2568199554103e-05,10.6199059986352,0.331806940241394,3.51802058431036,0.470340154045833,0.103022321448881,0.102803207286043,0.331819205425667,0.289516469196181,9.95457616277e-05,0.0422904710452128,11.0036778767083,10.2791149690147,0.00936253519988534,0.0100011730188768,334.164458888016,296.739434319197,0.138291214133094
0.302980474513612,0.185425262392989,0.000609559504275777,3.00720524674262,0.405364473103608,0,1.91463035792219e-05,0.000201547922155817,0.0548411207309162,4.89420495465893e-05,0.000515654590928844,0,0.0013742054609913,1.0538247104899e-07,0.347267237667386,1.34315300633749e-05,10.6371657632766,0.380055383958843,4.03615245191812,0.470333238278728,0.103114540784724,0.10289280856339,0.380068491739965,0.330973068823115,0.00011402054752199,0.0490823151357279,11.0303354995184,10.2880390885372,0.00934826876201782,0.0100012070014422,334.32976937646,296.877989045041,0.138554725844675
0.304204419647077,0.185601940220419,0.000609764615798609,2.44789026692959,0.353355654860117,0,2.21464794242661e-05,0.000233507443794749,0.0639190432778644,5.66236316836523e-05,0.000597588153350012,0,0.00157256895424078,1.09059276362754e-07,0.396726986498964,7.353610627529e-06,10.6543872502173,0.435231416964881,4.62962872764122,0.47032632153231,0.103206896018187,0.10298262660442,0.435245424878686,0.378179580687122,0.000130573627463606,0.0570518362777597,11.0568879532894,10.2969847913341,0.00933417218788791,0.0100012410129118,334.495387405794,297.01680775079,0.138818705749103
0.305108435715434,0.185748934751635,0.000609960438653154,1.80803213671532,0.293989062433052,0,2.5641391637156e-05,0.000270787843218419,0.0745607988473396,6.55820883858786e-05,0.000693263162703395,0,0.00179904796899057,1.14770890640997e-07,0.452958029499577,1.14232285564855e-05,10.6715646858565,0.498297133063756,5.30905062133431,0.470319403625035,0.103299342530488,0.103072590498235,0.498311636879387,0.431871388374347,0.000149493491063816,0.0664257446894092,11.0833309356667,10.3059449928396,0.00932024344757818,0.0100012750475427,334.661313631154,297.155890777528,0.139083026738
0.305647242487671,0.185862095669188,0.000610145750700654,1.07761354447298,0.226321835106078,0,2.97205855265056e-05,0.00031437579389009,0.0871759013433419,7.60515127957031e-05,0.000805267345881805,0,0.00205744688112802,1.19605394381549e-07,0.516797824274889,9.66900748110444e-06,10.6886914877346,0.570337399368997,6.08639245012944,0.470312484453117,0.103391829891351,0.103162619762033,0.570352669040901,0.492857901234147,0.00017110580071227,0.0774794981348498,11.1096595013522,10.3149116523625,0.00930648053423842,0.0100013090987944,334.827548459572,297.295238338367,0.139347560838388
0.305769561879694,0.185936744191306,0.000610319176033018,0.24463878404633,0.149297044235704,0,3.44909840564843e-05,0.000365427259474376,0.102102931168572,8.83117011720863e-05,0.000936622427053594,0,0.00235202636624281,1.25227936021042e-07,0.589158970229584,1.12450832789847e-05,10.7057601321225,0.652572019846739,6.97514099366964,0.470305564001654,0.10348430084221,0.103252622846869,0.652587937749075,0.562023540496573,0.000195776381324723,0.0905484793501656,11.1358679486831,10.3238756238064,0.00929288146367141,0.0100013431592273,334.994092005408,297.434850492402,0.139612154035305
0.305417788917415,0.185967625223323,0.000610479171997801,-0.703545924557866,0.0617620640343167,0,4.00817201462234e-05,0.000425354538068722,0.119854557188693,0.000102701526521736,0.00109103956409937,0,0.00268753951532937,1.30673380339405e-07,0.671026298173117,1.08908886367265e-05,10.7227620125551,0.746367989931372,7.99043667049971,0.470298642356485,0.103576690185275,0.103342495569634,0.74638465958874,0.640326050194292,0.000223915397876622,0.106041939737079,11.1619496952481,10.3328264990251,0.00927944427391299,0.010001377220394,335.160944056462,297.574727129079,0.139876636677474
0.304527240920137,0.185948853424037,0.000610624014190516,-1.781095994555,-0.0375435985734917,0,4.66484679723709e-05,0.000495853324828707,0.140997573519969,0.000119630203651779,0.00127297587643583,0,0.00306926473061986,1.36481744429287e-07,0.763450430580976,1.1616728179765e-05,10.7396872667784,0.853251325640156,9.1492109017365,0.470291719717774,0.103668923399464,0.103432119217985,0.853268721662252,0.728791380928029,0.000255980616498676,0.124459944712127,11.1878971231551,10.3417524184925,0.00926616702480257,0.0100014112727195,335.328104024937,297.714867941209,0.140140812129389
0.303025673544487,0.185873863981184,0.000610751783452261,-3.00313475130146,-0.149978885704328,0,5.43797437021481e-05,0.000578984904105028,0.166263158552643,0.000139594364726058,0.00148786525196576,0,0.00350303264520823,1.42322873418087e-07,0.867535829176746,1.16822579775986e-05,10.7565245786492,0.974917905202052,10.4703134126527,0.470284796414927,0.103760915014825,0.103521358423673,0.974936073517923,0.828503804703332,0.000292480822055377,0.14641410049872,11.2137013971043,10.3506398588269,0.00925304779754692,0.0100014453053732,335.495570897116,297.855272398502,0.140404457293159
0.300832683360942,0.185735365758486,0.000610860353768439,-4.38598036708973,-0.276996445397063,0,6.35040060560229e-05,0.000677246903348056,0.196523998486055,0.000163196900379111,0.00174230015088073,0,0.00399524382842247,1.48360045796852e-07,0.984422366428489,1.20743447575313e-05,10.77326094208,1.11324244391318,11.9746197099476,0.470277872922958,0.103852566626429,0.103610058676886,1.11326138583431,0.940589914959086,0.000333978415750293,0.172652528954092,11.239352242166,10.3594733844375,0.00924008469427726,0.0100014793061328,335.663343172274,297.995939713328,0.140667314826091
